CPU: ID 0x906c0, Processor Type 0x0, Family 0x6, Model 0x9c, Stepping 0x0
Northbridge: 8086:4e24 (unknown)
Southbridge: 8086:4d87 (Jasper Lake)
IGD: 8086:4e61 (unknown)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x690000

0x0a00: 0x0000004144000201 GPP_A09      GPIO                
0x0a10: 0x0000004244000300 GPP_A10      GPIO                
0x0a20: 0x0000004384000200 GPP_A11      GPIO                
0x0a30: 0x0000004484000201 GPP_A12      GPIO                
0x0a40: 0x0000004544000702 GPP_A13      USB_OC2_N           
0x0a50: 0x0000004644000702 GPP_A14      USB_OC3_N           
0x0a60: 0x0000004744000200 GPP_A15      GPIO                
0x0a70: 0x0000004844000702 GPP_A16      DDI1_HPD            
0x0a80: 0x0000004944000700 GPP_A17      DDI0_HPD            
0x0a90: 0x0000004a44000702 GPP_A18      USB_OC0_N           
0x0aa0: 0x0000004b84000201 GPP_A19      GPIO                
0x0ab0: 0x0000000040000700 ESPI_CLK_LOOPBK ESPI_CLK_LOOPBK     
------- GPIO Group GPP_S -------
0x0ac0: 0x0180005c44000300 GPP_S00      GPIO                
0x0ad0: 0x0180005d84000201 GPP_S01      GPIO                
0x0ae0: 0x0180005e44000b00 GPP_S02      DMIC_CLK_1          
0x0af0: 0x0180005f44000b00 GPP_S03      DMIC_DATA_1         
0x0b00: 0x0180006044000300 GPP_S04      GPIO                
0x0b10: 0x0180006144000300 GPP_S05      GPIO                
0x0b20: 0x0180006244000b00 GPP_S06      DMIC_CLK_0          
0x0b30: 0x0180006344000b00 GPP_S07      DMIC_DATA_0         
------- GPIO Group GPP_R -------
0x0b40: 0x0000005044000700 GPP_R00      HDA_BCLK            
0x0b50: 0x00003c5144000700 GPP_R01      HDA_SYNC            
0x0b60: 0x00003c5244000600 GPP_R02      HDA_SDO             
0x0b70: 0x00003c5344000700 GPP_R03      HDA_SDI0            
0x0b80: 0x0000005444000700 GPP_R04      HDA_RST_N           
0x0b90: 0x0000005544000300 GPP_R05      GPIO                
0x0ba0: 0x0000005644000300 GPP_R06      GPIO                
0x0bb0: 0x0000005744000300 GPP_R07      GPIO                


